Capacity (KB),Line Size (B),Associativity,Num Sets,Total,Cold,Capacity,Mapping,Replacement,References,
32(KB),64(B),1,512,105660,2023,146,52037,51454,4800439,
32(KB),64(B),1,512,105389,2022,146,51964,51257,4800436,
32(KB),64(B),1,512,105244,2022,146,51858,51218,4800449,
32(KB),64(B),1,512,105876,2022,146,52204,51504,4800453,
32(KB),64(B),1,512,105563,2022,146,52015,51380,4800454,
32(KB),64(B),2,256,7093,2022,146,2518,2407,4800432,
32(KB),64(B),2,256,3479,2023,146,663,647,4800454,
32(KB),64(B),2,256,7122,2022,146,2525,2429,4800454,
32(KB),64(B),2,256,7139,2022,146,2536,2435,4800437,
32(KB),64(B),2,256,3542,2023,146,697,676,4800455,
32(KB),64(B),4,128,2770,2022,146,199,403,4800460,
32(KB),64(B),4,128,2767,2022,146,214,385,4800450,
32(KB),64(B),4,128,2745,2022,146,200,377,4800459,
32(KB),64(B),4,128,2757,2022,146,207,382,4800460,
32(KB),64(B),4,128,2740,2022,146,200,372,4800453,
32(KB),64(B),8,64,2678,2023,146,54,455,4800466,
32(KB),64(B),8,64,2690,2022,146,68,454,4800450,
32(KB),64(B),8,64,2687,2023,146,52,466,4800447,
32(KB),64(B),8,64,2691,2022,146,64,459,4800448,
32(KB),64(B),8,64,2680,2023,146,52,459,4800438,
32(KB),64(B),16,32,2696,2023,146,17,510,4800447,
32(KB),64(B),16,32,2689,2022,146,24,497,4800450,
32(KB),64(B),16,32,2691,2023,146,22,500,4800445,
32(KB),64(B),16,32,2696,2022,146,22,506,4800442,
32(KB),64(B),16,32,2692,2022,146,22,502,4800456,
